Economy_Code,Economy_Label,1995_US_at_current_prices_per_capita_Value,1996_US_at_current_prices_per_capita_Value,1997_US_at_current_prices_per_capita_Value,1998_US_at_current_prices_per_capita_Value,1999_US_at_current_prices_per_capita_Value,2000_US_at_current_prices_per_capita_Value,2001_US_at_current_prices_per_capita_Value,2002_US_at_current_prices_per_capita_Value,2003_US_at_current_prices_per_capita_Value,2004_US_at_current_prices_per_capita_Value,2005_US_at_current_prices_per_capita_Value,2006_US_at_current_prices_per_capita_Value,2007_US_at_current_prices_per_capita_Value,2008_US_at_current_prices_per_capita_Value,2009_US_at_current_prices_per_capita_Value,2010_US_at_current_prices_per_capita_Value,2011_US_at_current_prices_per_capita_Value,2012_US_at_current_prices_per_capita_Value,2013_US_at_current_prices_per_capita_Value,2014_US_at_current_prices_per_capita_Value,2015_US_at_current_prices_per_capita_Value,2016_US_at_current_prices_per_capita_Value,2017_US_at_current_prices_per_capita_Value,2018_US_at_current_prices_per_capita_Value,2019_US_at_current_prices_per_capita_Value,2020_US_at_current_prices_per_capita_Value,2021_US_at_current_prices_per_capita_Value,2022_US_at_current_prices_per_capita_Value,2023_US_at_current_prices_per_capita_Value
706,Somalia,211,237,280,363,359,386,245,230,286,375,440,458,480,507,247,219,235,324,382,435,480,515,553,536,588,553,570,585,632
710,South Africa,3856,3618,3700,3310,3242,3218,2847,2688,4062,5221,5837,6077,6592,6185,6375,7973,8646,8077,7328,6852,6108,5651,6608,6911,6534,5586,6831,6497,5979
728,South Sudan,,,,,,,,,,,,,,,,,,825,1140,1330,561,303,348,375,412,393,395,419,
724,Spain,15345,15971,14598,15245,15551,14551,15208,16894,21302,24683,26235,28175,32341,35153,31854,30331,31465,28177,28920,29323,25612,26378,28020,30189,29394,26807,30285,29603,33462
144,Sri Lanka,871,922,979,999,973,992,937,988,1083,1177,1382,1601,1831,2304,2382,2808,3225,3328,3605,3830,3918,4017,4273,4246,3972,3743,3935,3336,3626
275,State of Palestine,1245,1241,1315,1373,1398,1369,1235,1070,1168,1325,1441,1467,1556,1909,2062,2410,2718,2896,3132,3168,3090,3325,3401,3356,3456,3064,3492,3602,3790
729,Sudan,,,,,,,,,,,,,,,,,,1687,1692,2011,2097,2173,2858,1093,771,733,732,744,1346
736,Sudan (...2011),430,274,327,341,326,387,451,506,580,705,906,1132,1444,1507,1382,1543,1842,,,,,,,,,,,,
740,Suriname,1965,2400,2518,2958,2393,2427,2098,2697,3076,3514,4223,5003,5530,6633,7253,8150,8226,9237,9519,9670,8814,5644,6050,6666,7024,6792,5386,5811,5964
752,Sweden,30285,33002,30314,30598,30942,29625,27248,29899,37321,42820,43436,46593,53699,56151,46946,52868,60755,58037,61125,60018,51544,51964,53791,54588,51938,52837,61416,56372,55963
